Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Kiel IV Initial Pressure,Kiel IV Acid Temperature,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2,Collector Status,Cycles Total,d13C Cycles Used,d18O Cycles Used,d13C Cycles Excluded,d18O Cycles Excluded,1  Cycle Int  Ref  44,1  Cycle Int  Diff Samp-Ref  44,1  Cycle Int  Pressure-Weighted Mismatch Samp-Ref  44
11.0,GIRMS\IRMS-operator,2026-01-26 20:47:23.523,2026-01-26 21:52:22.720,Success,False,SHP2L,<Comment>,11.0,1,7.0,True,QC Standard,SHP2L,"0.001 V, 0.001 V, 0.002 V",47 µbar,72 °C,,1.644 V,9.5204 kV,45 µbar,Carbon Dioxide: 0.0204 kV,91 µbar,2.069 V,1.805 V,110 µbar/min,6.734 V,4.21E-008 mbar,100 %,606 µbar,µ-Volume,1.540 V,Pre,1.4675259941386194,1.5958731360067315,2.13709131102059,2.0881616386099324,2.849878470087259,1.9997383343372983,-0.9531020431139403,-6.432566489783076,-0.9102530873675435,0.03202181973776619,0.011321422941253852,-6.379730446079202,0.05185869361760399,0.018334816960241657,-0.9041318079752011,0.02909597663158792,-6.372182439835791,0.051047060679402304,Natan Pereira BTS coral series 1.xlsx,2026-01-26 20:47:23.523,739642.0,110.0,91.0,45.0,606.0,1.42873462700661,SHP2L,,<Comment>,OK,8.0,7.0,7.0,0.0,0.0,1.9254587852994063,-0.49672415829279637,-0.462575612046898
12.0,GIRMS\IRMS-operator,2026-01-26 21:23:37.055,2026-01-26 22:22:29.847,Success,False,BTS,952,12.0,2,7.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",47 µbar,73 °C,,20.633 V,9.5205 kV,98 µbar,Carbon Dioxide: 0.0205 kV,86 µbar,14.541 V,24.986 V,132 µbar/min,2.058 V,1.37E-007 mbar,10 %,"1,029 µbar",µ-Volume,18.082 V,Pre,18.105207352545825,19.632943168400512,15.090696707485902,25.818977603847017,20.14100934022092,14.1420945214301,-2.3654100079213425,-3.645459143723828,-2.5316819257680394,0.1025988039080553,0.03627415499250738,-4.072234539303068,0.2702090629502354,0.09553333037508706,-2.5554350568889963,0.08375537058678749,-4.133202452957246,0.2246974707482226,Natan Pereira BTS coral series 1.xlsx,2026-01-26 21:23:37.055,739642.0,132.0,86.0,98.0,1029.0,17.203970222380725,BTS,,952,OK,8.0,7.0,7.0,0.0,0.0,13.242034582999315,3.9619356393814105,6.459984660412466
13.0,GIRMS\IRMS-operator,2026-01-26 21:52:22.865,2026-01-26 22:56:23.774,Success,False,BTS,989,13.0,1,8.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",47 µbar,72 °C,,27.640 V,9.5198 kV,101 µbar,Carbon Dioxide: 0.0198 kV,"1,344 µbar",13.548 V,34.320 V,"1,458 µbar/min",13.605 V,1.31E-007 mbar,10 %,"1,046 µbar",µ-Volume,24.483 V,Pre,24.743842490838077,26.837055699229342,14.064167754054173,35.31006601191065,18.769210842614374,13.181122549698859,-2.0889341496987957,-2.80997016749851,-2.302822797938739,0.1333841186096574,0.04715840738573976,-3.5395633059942115,0.48733565026130143,0.17229917150686094,-2.333378319115874,0.1097386506767872,-3.643790897207883,0.4191504043852279,Natan Pereira BTS coral series 1.xlsx,2026-01-26 21:52:22.865,739642.0,1458.0,1344.0,101.0,1046.0,23.421692260430365,BTS,,989,OK,8.0,7.0,7.0,0.0,0.0,12.37298787467292,11.048704385757446,26.248539461542908
14.0,GIRMS\IRMS-operator,2026-01-26 22:22:29.943,2026-01-26 23:34:52.769,Success,False,BTS,873,14.0,2,8.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",49 µbar,72 °C,,9.801 V,9.5207 kV,137 µbar,Carbon Dioxide: 0.0207 kV,89 µbar,8.845 V,11.303 V,95 µbar/min,2.313 V,9.58E-008 mbar,20 %,973 µbar,µ-Volume,,Pre,8.026610476370776,8.717044624136394,8.955135377691692,11.457896967978472,11.950648566336628,8.384723314946243,-1.6799361102090016,-3.376548191289075,-1.695978392123307,0.016795122577761997,0.005937972532797398,-3.365788019937671,0.015333110206903127,0.005421073101990933,-1.6982701466824932,0.01673525826451172,-3.3642508526017565,0.01588189959711713,Natan Pereira BTS coral series 1.xlsx,2026-01-26 22:22:29.943,739642.0,95.0,89.0,137.0,973.0,7.777597409137755,BTS,,873,OK,8.0,7.0,7.0,0.0,0.0,8.024628623822032,-0.24703121468427724,-0.3004847641894824
15.0,GIRMS\IRMS-operator,2026-01-26 22:56:23.947,2026-01-27 00:03:15.832,Success,False,BTS,893,15.0,1,9.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",49 µbar,73 °C,,28.085 V,9.5202 kV,101 µbar,Carbon Dioxide: 0.0202 kV,"1,339 µbar",14.519 V,34.764 V,"1,099 µbar/min",8.590 V,1.36E-007 mbar,10 %,"1,056 µbar",µ-Volume,24.800 V,Pre,25.05168215978415,27.16760720031098,15.077564966843873,35.748256737730486,20.12282460405586,14.132111236932587,-2.1224489813386205,-2.8021832575426675,-2.3557673323792443,0.14993307166606046,0.05300934584959998,-3.5398575251441025,0.5027494817470666,0.17774878389068657,-2.389098525385047,0.12592673129767043,-3.6452395633728787,0.4373020212676316,Natan Pereira BTS coral series 1.xlsx,2026-01-26 22:56:23.947,739642.0,1099.0,1339.0,101.0,1056.0,23.71446685540945,BTS,,893,OK,8.0,7.0,7.0,0.0,0.0,13.234107658746554,10.480359196662898,23.569207275419494
16.0,GIRMS\IRMS-operator,2026-01-26 23:34:52.892,2026-01-27 00:38:05.477,Success,False,SHP2L,<Comment>,16.0,2,9.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",49 µbar,73 °C,,5.721 V,9.5200 kV,49 µbar,Carbon Dioxide: 0.0200 kV,135 µbar,5.462 V,6.420 V,139 µbar/min,13.676 V,6.43E-008 mbar,33 %,885 µbar,µ-Volume,,Pre,4.993239221327123,5.428804445597589,5.5388735625031185,7.107916776162798,7.389354739230841,5.185294681134432,-0.7259285361947976,-5.976408976690939,-0.7546392027374949,0.017768711807209927,0.006282188305913806,-5.97601570429561,0.02362024669787473,0.00835101830668319,-0.7587407265293088,0.014537480179316406,-5.975959522524846,0.025512204989516823,Natan Pereira BTS coral series 1.xlsx,2026-01-26 23:34:52.892,739642.0,139.0,135.0,49.0,885.0,4.86290867360805,SHP2L,,<Comment>,OK,8.0,7.0,7.0,0.0,0.0,4.998121552382923,-0.13521287877487254,-0.16510395056957494
17.0,GIRMS\IRMS-operator,2026-01-27 00:03:15.984,2026-01-27 01:07:55.584,Success,False,BTS,953,17.0,1,10.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",52 µbar,73 °C,,24.234 V,9.5206 kV,169 µbar,Carbon Dioxide: 0.0206 kV,"1,341 µbar",13.323 V,29.789 V,"1,385 µbar/min",5.376 V,1.27E-007 mbar,10 %,"1,046 µbar",µ-Volume,21.557 V,Pre,21.66782319545746,23.49805975350295,13.830976132477861,30.9047938911875,18.456885370488948,12.95998692512512,-2.3940898385138576,-3.450813285033938,-2.5662815515430095,0.09143175402120861,0.03232600664208849,-4.063499220635716,0.377692737783209,0.1335345480457098,-2.5908803676900307,0.06407373509871928,-4.151025782864542,0.3080996267080475,Natan Pereira BTS coral series 1.xlsx,2026-01-27 00:03:15.984,739643.0,1385.0,1341.0,169.0,1046.0,20.567685365676876,BTS,,953,OK,8.0,7.0,7.0,0.0,0.0,12.166708707809448,8.400976657867428,17.82346730180781
18.0,GIRMS\IRMS-operator,2026-01-27 00:38:05.603,2026-01-27 01:51:00.526,Success,False,BTS,371,18.0,2,10.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",52 µbar,72 °C,,15.075 V,9.5210 kV,74 µbar,Carbon Dioxide: 0.0210 kV,103 µbar,13.134 V,17.947 V,73 µbar/min,2.316 V,1.26E-007 mbar,12 %,"1,021 µbar",µ-Volume,,Pre,11.769147161057152,12.766944293438868,13.504223946988061,16.778062852410226,18.021728666809945,12.65265426608484,-2.2120902950253374,-4.072271174875852,-2.293535592744367,0.04773450837603365,0.016876697284649723,-4.144633057606928,0.042217162068431,0.014926020790519525,-2.305170635275657,0.03734775094932206,-4.1549704694256535,0.03289312176739947,Natan Pereira BTS coral series 1.xlsx,2026-01-27 00:38:05.603,739643.0,73.0,103.0,74.0,1021.0,11.272819284012474,BTS,,371,OK,8.0,7.0,7.0,0.0,0.0,11.885689142754234,-0.6128698587417603,-0.7295020998908455
19.0,GIRMS\IRMS-operator,2026-01-27 01:07:55.771,2026-01-27 02:17:33.703,Success,False,BTS,992,19.0,1,11.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",52 µbar,73 °C,,26.814 V,9.5204 kV,96 µbar,Carbon Dioxide: 0.0204 kV,"1,341 µbar",14.274 V,33.082 V,"1,289 µbar/min",12.442 V,1.34E-007 mbar,10 %,"1,058 µbar",µ-Volume,23.771 V,Pre,23.981370239308966,26.00043191994963,14.832980180638412,34.22075217748818,19.795578775655592,13.90268790768373,-2.3779912689305682,-2.751750286053456,-2.581066327951173,0.11887975762851923,0.04203034138246957,-3.406051102309057,0.44096734850315905,0.15590550120421764,-2.6100770506684023,0.09291209429029709,-3.4995226474884293,0.3812036530651003,Natan Pereira BTS coral series 1.xlsx,2026-01-27 01:07:55.771,739643.0,1289.0,1341.0,96.0,1058.0,22.722147612622866,BTS,,992,OK,8.0,7.0,7.0,0.0,0.0,13.023862962066955,9.69828465055591,21.235113754486523
20.0,GIRMS\IRMS-operator,2026-01-27 01:51:00.643,2026-01-27 02:50:20.692,Success,False,BTS,1001,20.0,2,11.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",49 µbar,72 °C,,11.307 V,9.5204 kV,855 µbar,Carbon Dioxide: 0.0204 kV,89 µbar,10.875 V,13.195 V,73 µbar/min,13.425 V,1.11E-007 mbar,13 %,"1,041 µbar",µ-Volume,,Pre,9.895966414232355,10.743358884218495,11.1676843503745,14.121294021606447,14.900848269462587,10.461271766443351,-1.6252175654071221,-3.1429856220613894,-1.6934946325093265,0.043048390013555274,0.015219904248874093,-3.173638912392501,0.022153183298864322,0.007832333067747766,-1.703248499238213,0.035694126206985206,-3.178017953868374,0.019838886368511298,Natan Pereira BTS coral series 1.xlsx,2026-01-27 01:51:00.643,739643.0,73.0,89.0,855.0,1041.0,9.521083000917535,BTS,,1001,OK,8.0,7.0,7.0,0.0,0.0,9.884343508501154,-0.36326050758361816,-0.4391438577821131
21.0,GIRMS\IRMS-operator,2026-01-27 02:17:33.883,2026-01-27 03:21:39.455,Success,False,SHP2L,<Comment>,21.0,1,12.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",52 µbar,72 °C,,9.669 V,9.5207 kV,93 µbar,Carbon Dioxide: 0.0207 kV,"1,344 µbar",9.597 V,11.155 V,"1,297 µbar/min",10.377 V,1.02E-007 mbar,15 %,980 µbar,µ-Volume,,Pre,8.741509343248396,9.499042679480862,9.839285932226895,12.442136449793997,13.12983994005126,9.215187003544205,-0.8256509797098799,-5.9536992216445705,-0.8821311816623323,0.030324326492807484,0.010721268448989523,-6.005786908396191,0.02817808614030939,0.00996245789533572,-0.890199781941254,0.02156858848294502,-6.013228006503565,0.020237403783073538,Natan Pereira BTS coral series 1.xlsx,2026-01-27 02:17:33.883,739643.0,1297.0,1344.0,93.0,980.0,8.457546729447278,SHP2L,,<Comment>,OK,8.0,7.0,7.0,0.0,0.0,8.760165579271119,-0.30261884982384046,-0.3666723596312094
22.0,GIRMS\IRMS-operator,2026-01-27 02:50:20.865,2026-01-27 04:01:32.043,Success,False,BTS,641,22.0,2,12.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",52 µbar,72 °C,,7.506 V,9.5212 kV,52 µbar,Carbon Dioxide: 0.0212 kV,103 µbar,7.093 V,8.432 V,103 µbar/min,2.337 V,8.10E-008 mbar,27 %,943 µbar,µ-Volume,,Pre,6.501241478361296,7.061905398610893,7.186978413759085,9.277401843389152,9.588463583310723,6.728313379205798,-1.6207452669145805,-3.5627231059720543,-1.6502318254630055,0.019508886863891534,0.0068974330974294305,-3.55698031837251,0.01590785414419035,0.005624275769741759,-1.6544441909699235,0.016685879107297328,-3.5561599201440037,0.016998665546266684,Natan Pereira BTS coral series 1.xlsx,2026-01-27 02:50:20.865,739643.0,103.0,103.0,52.0,943.0,6.322108112449042,BTS,,641,OK,8.0,7.0,7.0,0.0,0.0,6.468392672381215,-0.14628455993217315,-0.1794378832635619
23.0,GIRMS\IRMS-operator,2026-01-27 03:21:39.702,2026-01-27 04:28:49.571,Success,False,BTS,1002,23.0,1,13.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",54 µbar,73 °C,,11.187 V,9.5211 kV,802 µbar,Carbon Dioxide: 0.0211 kV,"1,353 µbar",10.026 V,13.055 V,"1,355 µbar/min",6.957 V,1.04E-007 mbar,17 %,"1,041 µbar",µ-Volume,,Pre,9.034498497086963,9.803092258883025,10.22075690598538,12.896932392731781,13.637341290131683,9.572311206895316,-2.317382841969584,-2.9636336060981927,-2.3688924071996467,0.028750391526342803,0.010164798405022624,-2.9936582289587235,0.018264086096241267,0.006457329565413569,-2.376250916518227,0.021423609112746798,-2.9979474607959418,0.014746623005089636,Natan Pereira BTS coral series 1.xlsx,2026-01-27 03:21:39.702,739643.0,1355.0,1353.0,802.0,1041.0,8.721639821865676,BTS,,1002,OK,8.0,7.0,7.0,0.0,0.0,9.075765579916826,-0.35412575805115054,-0.42709304676069815
24.0,GIRMS\IRMS-operator,2026-01-27 04:01:32.261,2026-01-27 04:59:00.788,Success,False,BTS,401,24.0,2,13.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",54 µbar,73 °C,,6.193 V,9.5209 kV,765 µbar,Carbon Dioxide: 0.0209 kV,169 µbar,6.182 V,6.926 V,73 µbar/min,9.640 V,6.96E-008 mbar,30 %,985 µbar,µ-Volume,,Pre,5.658348219082953,6.142920828794733,6.270189418975736,8.070335715813524,8.36429909805358,5.870036863007332,-2.1670972429894686,-3.958586394891883,-2.1504628996012465,0.018086068335429074,0.006394390782492596,-3.949741221092748,0.02108799798634857,0.007455733188897666,-2.148086564831501,0.01813611004926385,-3.9484776248357285,0.022448132013835387,Natan Pereira BTS coral series 1.xlsx,2026-01-27 04:01:32.261,739643.0,73.0,169.0,765.0,985.0,5.509330874562205,BTS,,401,OK,8.0,7.0,7.0,0.0,0.0,5.652963030331406,-0.1436321557692004,-0.1756808788229809
25.0,GIRMS\IRMS-operator,2026-01-27 04:28:49.787,2026-01-27 05:31:18.337,Success,False,BTS,879,25.0,1,14.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",54 µbar,73 °C,,9.469 V,9.5213 kV,81 µbar,Carbon Dioxide: 0.0213 kV,"1,310 µbar",9.428 V,10.930 V,"1,004 µbar/min",6.064 V,9.91E-008 mbar,17 %,985 µbar,µ-Volume,,Pre,8.570435488779465,9.310418033800303,9.62225988059019,12.227262655194044,12.839387455876114,9.010898492450153,-1.219893221485524,-3.659364988775393,-1.233820379846387,0.012098694145443062,0.004277534336872385,-3.648496528695436,0.023540195712380814,0.008322716009341482,-1.2358099738979387,0.01156844608361106,-3.646943891541156,0.024979950292853974,Natan Pereira BTS coral series 1.xlsx,2026-01-27 04:28:49.787,739643.0,1004.0,1310.0,81.0,985.0,8.298042521930107,BTS,,879,OK,8.0,7.0,7.0,0.0,0.0,8.578020172593815,-0.2799776506637084,-0.3399085303546851
